Question,Answer
Describe the data transfer object (DTO) pattern.,"DTO transfers data between layers/processes without business logic. Reduces method calls, serializes data, decouples layers. Example: API responses, service communication."
What is the difference between semantic versioning numbers?,Major: breaking changes (1.0.0). Minor: backward-compatible features (0.1.0). Patch: backward-compatible fixes (0.0.1). Helps manage dependencies.
Explain the concept of Content Security Policy headers.,"CSP prevents XSS by controlling resource loading sources. Defines allowed origins for scripts, styles, images. Implemented via HTTP header or meta tag."
What is the purpose of React Router in single-page applications?,"React Router enables navigation between views in SPAs. Provides declarative routing, nested routes, dynamic parameters, history management without full page reload."
Describe the saga pattern for distributed transactions.,Saga breaks distributed transaction into local transactions with compensating actions. Each step has rollback logic. Ensures eventual consistency without two-phase commit.
What is the difference between SQL and NoSQL consistency models?,"SQL: ACID, strong consistency, immediate. NoSQL: BASE (Basically Available, Soft state, Eventual consistency), prioritizes availability over immediate consistency."
Explain the concept of trunk-based development workflow.,"Trunk-based development commits directly to main branch or short-lived feature branches. Promotes continuous integration, faster feedback, reduces merge conflicts."
What is the purpose of Selenium in automated testing?,"Selenium automates browser testing across multiple browsers. Supports various languages, enables UI testing, regression testing, cross-browser compatibility verification."
Describe the event sourcing pattern in system design.,"Event sourcing stores state changes as sequence of events rather than current state. Enables audit trails, time travel, event replay, CQRS implementation."
What is the difference between SQL window functions and aggregate functions?,"Aggregate functions collapse rows into single result. Window functions perform calculations across row sets without collapsing, maintaining row count."
Explain the concept of domain-driven design (DDD) in architecture.,"DDD aligns software with business domain through ubiquitous language, bounded contexts, aggregates, entities, value objects. Models complex business logic effectively."
What is the purpose of Artillery in load testing?,"Artillery is modern load testing toolkit for APIs and websites. Simulates user traffic, measures performance under load, supports complex scenarios, CI/CD integration."
Describe the adapter pattern for legacy system integration.,Adapter wraps legacy interface to match expected interface. Enables new code to work with old systems without modification. Translates between incompatible interfaces.
What is the difference between horizontal and vertical pod autoscaling in Kubernetes?,Horizontal: adds/removes pod replicas based on CPU/memory. Vertical: adjusts pod resource requests/limits. Horizontal for stateless; vertical for stateful workloads.
Explain the concept of API rate limiting algorithms.,"Algorithms: Fixed window (simple, spike issues), Sliding window (smooth), Token bucket (burst allowance), Leaky bucket (constant rate). Prevent abuse, ensure fair usage."
What is the purpose of Jaeger in distributed tracing?,"Jaeger tracks requests across microservices. Captures timing, dependencies, errors. Visualizes transaction paths, identifies performance bottlenecks, troubleshoots latency issues."
Describe the lazy loading pattern in software design.,"Lazy loading defers initialization until needed. Improves performance by reducing initial load time, memory usage. Common in: images, modules, database queries."
What is the difference between optimistic and pessimistic UI updates?,"Optimistic: updates UI immediately assuming success, reverts on failure. Pessimistic: waits for server confirmation. Optimistic improves perceived performance."
Explain the concept of database foreign key constraints and cascading.,Foreign keys enforce referential integrity. CASCADE: deletes/updates propagate. SET NULL: sets null on delete. RESTRICT: prevents deletion if referenced. Maintains data consistency.
What is the purpose of Istio service mesh in Kubernetes?,"Istio manages service-to-service communication. Provides traffic management, security (mTLS), observability, policy enforcement without changing application code."
Describe the iterator design pattern for collection traversal.,"Iterator provides sequential access to collection elements without exposing internal structure. Encapsulates traversal logic, supports multiple simultaneous iterations."
What is the difference between CSS position values: absolute vs fixed?,"Absolute: positioned relative to nearest positioned ancestor. Fixed: positioned relative to viewport, stays during scroll. Both removed from normal flow."
Explain the concept of database connection string parameters.,"Connection string contains: server address, port, database name, credentials, timeout settings, pooling options. Configures database connection behavior."
What is the purpose of Zuul in microservices gateway?,"Zuul is Netflix API gateway routing requests to microservices. Provides dynamic routing, monitoring, security, load balancing, rate limiting."
Describe the command query separation (CQS) principle.,"CQS separates methods into commands (change state, no return) and queries (return data, no side effects). Improves predictability, testability."
What is the difference between React useState and useReducer hooks?,"useState: simple state updates. useReducer: complex state logic, multiple sub-values, next state depends on previous. Reducer for complex state machines."
Explain the concept of database view materialization strategies.,"Materialized views store query results physically. Strategies: immediate refresh, deferred refresh, incremental refresh. Trade freshness for performance."
What is the purpose of SonarQube in code quality analysis?,"SonarQube performs static code analysis detecting bugs, vulnerabilities, code smells. Tracks technical debt, enforces quality gates, integrates with CI/CD."
Describe the front controller design pattern in web applications.,"Front controller centralizes request handling through single entry point. Routes requests to appropriate handlers, applies common processing, reduces duplication."
What is the difference between shallow and deep merging objects?,Shallow merge: copies top-level properties only. Deep merge: recursively copies nested objects. Shallow faster but doesn't handle nested structures.
Explain the concept of OAuth 2.0 grant types and their uses.,"Grant types: Authorization Code (web apps), Implicit (deprecated), Client Credentials (service-to-service), Password (legacy), Device Code (limited input devices)."
What is the purpose of Fluentd in log aggregation?,"Fluentd collects, processes, routes logs from multiple sources. Provides unified logging layer, plugins for various inputs/outputs, enabling centralized log management."
Describe the blackboard design pattern for collaborative problem solving.,"Blackboard uses shared knowledge base where specialists contribute solutions. Useful for complex problems requiring multiple approaches: AI systems, compilers."
What is the difference between SQL JOIN performance characteristics?,"INNER JOIN: fastest, filtered dataset. LEFT/RIGHT JOIN: slower, includes unmatched rows. FULL OUTER JOIN: slowest, all rows. Index usage critical."
Explain the concept of progressive enhancement in web development.,"Progressive enhancement builds core functionality first, adding enhancements for capable browsers. Ensures accessibility, graceful degradation, broad compatibility."
What is the purpose of Vault by HashiCorp in secrets management?,"Vault securely stores, accesses secrets. Provides encryption, dynamic secrets, lease management, audit logging, supporting various backends."
Describe the double dispatch pattern in object-oriented design.,Double dispatch uses two polymorphic calls determining method execution. Solves type resolution in languages without multiple dispatch. Example: visitor pattern.
What is the difference between microfrontends and monolithic frontends?,"Microfrontends: independent deployable UI modules, team autonomy. Monolithic: single codebase, simpler but less scalable. Microfrontends enable parallel development."
Explain the concept of database query execution plan analysis.,"Execution plans show query processing steps: scans, joins, sorts. Analyze cost estimates, identify bottlenecks, optimize through indexing, rewriting."
What is the purpose of Packer in infrastructure automation?,"Packer creates identical machine images for multiple platforms from single configuration. Automates image creation, ensures consistency across environments."
Describe the extension object pattern for adding features.,"Extension object adds interfaces to classes dynamically without inheritance. Provides flexibility, supports feature-based composition, reduces coupling."
What is the difference between JavaScript event bubbling and capturing?,"Bubbling: events propagate from target to root. Capturing: root to target. Bubbling most common, capturing for early interception."
Explain the concept of database stored procedures vs functions.,"Stored procedures: perform actions, multiple results, no return requirement. Functions: return single value, usable in queries. Procedures for operations; functions for calculations."
What is the purpose of Serverless Framework in cloud deployment?,"Serverless Framework deploys serverless applications across providers. Abstracts provider differences, manages infrastructure, supports plugins, simplifies Lambda deployment."
Describe the interpreter pattern for custom languages.,"Interpreter defines grammar representation and interpretation mechanism. Builds abstract syntax tree, evaluates expressions. Used for DSLs, calculators, rule engines."
What is the difference between REST API maturity levels?,"Level 0: single URI, single method. Level 1: multiple URIs. Level 2: HTTP methods. Level 3: HATEOAS (hypermedia). Higher levels increase RESTfulness."
Explain the concept of git cherry-pick and its use cases.,"Cherry-pick applies specific commits to current branch. Use cases: selective bug fixes, feature porting between branches, avoiding full merge."
What is the purpose of New Relic in application monitoring?,"New Relic provides APM monitoring application performance, transactions, errors. Offers distributed tracing, real user monitoring, infrastructure monitoring."
Describe the object mother pattern in test data creation.,"Object mother creates pre-configured test objects with sensible defaults. Simplifies test setup, ensures consistency, reduces test code duplication."
What is the difference between CSS pseudo-classes and pseudo-elements?,"Pseudo-classes (:hover, :focus): select elements in specific states. Pseudo-elements (::before, ::after): style parts of elements or add content."
Explain the concept of database trigger types and timing.,"Types: BEFORE/AFTER triggers, INSTEAD OF triggers. Timing: INSERT, UPDATE, DELETE events. Row-level or statement-level execution."
What is the purpose of Consul in service discovery?,"Consul provides service discovery, health checking, key-value store, multi-datacenter support. Enables dynamic service registration, DNS-based discovery."
Describe the marker interface pattern in Java.,"Marker interface contains no methods, tags classes with metadata. JVM or frameworks use for special handling. Example: Serializable, Cloneable."
What is the difference between cookie SameSite attribute values?,Strict: never sent cross-site. Lax: sent on top-level navigation. None: always sent (requires Secure). Protects against CSRF.
Explain the concept of database partitioning vs sharding.,Partitioning: divides table within single database (horizontal/vertical). Sharding: distributes data across multiple databases. Sharding scales better.
What is the purpose of Splunk in log analysis?,"Splunk indexes, searches, analyzes machine data. Provides real-time insights, dashboards, alerting, supporting security, operations, business analytics."
Describe the money pattern for financial calculations.,"Money pattern encapsulates currency amount and type, preventing floating-point errors. Provides arithmetic operations, currency conversion, proper rounding."
What is the difference between React controlled and uncontrolled components?,"Controlled: React manages form state via props/state. Uncontrolled: DOM manages state, accessed via refs. Controlled preferred for validation, dynamic behavior."
Explain the concept of database read-committed isolation level.,"Read committed prevents dirty reads (uncommitted data). Allows non-repeatable reads, phantom reads. Balance between consistency and concurrency."
What is the purpose of ArgoCD in GitOps deployment?,"ArgoCD implements GitOps for Kubernetes. Syncs cluster state with Git repository, provides declarative deployment, rollback, drift detection."
Describe the type object pattern for dynamic typing.,"Type object separates class from its type, storing type information as data. Enables runtime type modification, reduces class explosion."
What is the difference between JavaScript var let const scoping?,"var: function-scoped, hoisted. let: block-scoped, temporal dead zone. const: block-scoped, immutable binding. Prefer const, then let."
Explain the concept of database column store vs row store.,"Row store: stores entire rows together, good for transactions. Column store: stores columns together, excellent for analytics, aggregations."
What is the purpose of Linkerd as service mesh?,"Linkerd provides service mesh for Kubernetes with lower overhead than Istio. Offers observability, reliability, security through sidecar proxies."
Describe the active record pattern in ORM frameworks.,"Active record combines data and behavior in single class. Objects represent database rows, containing business logic. Simpler but less separation than data mapper."
What is python?,"Python is a high-level, interpreted programming language known for its simple syntax and versatility in areas like web development, data analysis, and automation."
What is java?,"Java is a high-level, class-based, object-oriented programming language designed to have as few implementation dependencies as possible."
What is the difference between typescript and javascript?,"TypeScript is a statically-typed superset of JavaScript that compiles to plain JavaScript, adding type safety and modern features."
What is backend developement,"Backend development involves creating and maintaining server-side logic, databases, and APIs that power web applications."
Give a definition of AI,"AI, or Artificial Intelligence, is the simulation of human intelligence processes by machines, especially computer systems, including learning, reasoning, and self-correction."
The types of AI,"Reactive machines, limited memory, theory of mind, and self-aware AI."
what is SQL,SQL is a domain-specific language used for managing and querying relational databases.
what is next.js,Next.js is a React framework for building server-side rendered and statically generated web applications.
what is react.js,"React.js is a JavaScript library for building user interfaces, particularly for single-page applications."
what is programming,Programming is the process of creating instructions for computers to execute.
what is golang,"Go, also known as Golang, is a statically typed, compiled programming language designed at Google by Robert Griesemer, Rob Pike, and Ken Thompson. It was created to address issues with existing languages and environments related to scalability, concurrency, and ease of programming for large software systems. Go features garbage collection, explicit typing, fast compilation, and built-in support for concurrent programming through goroutines and channels. It is widely used for backend web development, cloud services, DevOps tools, and system-level programming."
tell me something in networking,Routing tables determine the path data packets take across networks based on destination IP addresses.
what is HTML,"HTML (HyperText Markup Language) is the standard markup language used to create and structure content on web pages, using tags to define elements like headings, paragraphs, links, images, and more."
what is CSS?,"CSS (Cascading Style Sheets) is a stylesheet language used to control the presentation and styling of HTML documents, including layout, colors, fonts, and spacing."
what is PHP,"PHP is a server-side scripting language designed for web development, originally standing for Personal Home Page but now recursively named PHP: Hypertext Preprocessor."
what is MYsql,"MySQL is an open-source relational database management system (RDBMS) that uses Structured Query Language (SQL) to manage and manipulate databases. It is widely used for web applications and online publishing due to its reliability, scalability, and ease of use."
