Question Number,Question,Answer,Category,Difficulty
378,Explain the concept of feature toggles in software deployment.,"Feature toggles enable/disable features at runtime without code deployment. Support: A/B testing, gradual rollouts, emergency kill switches, per-user features.",DevOps,Medium
379,What is the purpose of Elasticsearch in search applications?,"Elasticsearch is distributed search engine providing full-text search, analytics, scalability. Uses inverted indexes, supports complex queries, real-time indexing.",Back-end,Medium
380,Describe the interpreter design pattern with example.,"Interpreter defines language grammar and interpreter for evaluating sentences. Example: regular expressions, mathematical expressions, SQL parsers, configuration languages.",General Programming,Hard
381,What is the difference between cookies attributes: Secure and HttpOnly?,"Secure: transmits cookies only over HTTPS. HttpOnly: prevents JavaScript access, protecting against XSS attacks. Both enhance cookie security.",Security,Medium
382,Explain the concept of database indexing trade-offs.,"Benefits: faster queries, improved performance. Trade-offs: slower writes, additional storage, maintenance overhead, careful selection needed for optimal performance.",Database Systems,Medium
383,What is the purpose of Terraform in infrastructure management?,"Terraform is Infrastructure as Code tool managing cloud resources through declarative configuration. Provides version control, automation, multi-cloud support, state management.",DevOps,Hard
384,Describe the bridge design pattern and its purpose.,"Bridge decouples abstraction from implementation, allowing independent variation. Separates interface hierarchy from implementation hierarchy, avoiding cartesian product explosion.",General Programming,Hard
385,What is the difference between mutation testing and code coverage?,"Code coverage measures executed lines. Mutation testing introduces bugs, checking if tests detect them, evaluating test quality beyond coverage metrics.",Software Testing,Hard
386,Explain the concept of distributed consensus algorithms.,"Consensus algorithms ensure distributed nodes agree on single value despite failures. Examples: Paxos (complex), Raft (understandable), ensuring consistency in distributed systems.",Distributed Systems,Hard
387,What is the purpose of RabbitMQ in message queuing?,"RabbitMQ is message broker implementing AMQP protocol. Enables asynchronous communication, decoupling services, load leveling, reliable message delivery with acknowledgments.",Back-end,Medium
388,Describe the flyweight design pattern for memory optimization.,"Flyweight minimizes memory by sharing common state among multiple objects. Separates intrinsic (shared) from extrinsic (unique) state. Example: text editors (character formatting).",General Programming,Hard
389,What is the difference between synchronous and asynchronous replication?,"Synchronous: waits for replica acknowledgment, ensuring consistency but higher latency. Asynchronous: doesn't wait, better performance but potential data loss.",Database Systems,Hard
390,Explain the concept of chaos engineering in production systems.,"Chaos engineering deliberately introduces failures testing system resilience. Identifies weaknesses, validates failover mechanisms, improves reliability through controlled experiments.",DevOps,Hard
391,What is the purpose of JWT token structure?,"JWT contains three parts: Header (algorithm), Payload (claims/data), Signature (verification). Base64 encoded, enabling stateless authentication, tamper-proof verification.",Security,Medium
392,Describe the abstract factory design pattern.,"Abstract factory provides interface for creating families of related objects without specifying concrete classes. Example: UI themes (Windows, Mac) creating consistent components.",General Programming,Hard
393,What is the difference between mocking and stubbing in testing?,"Mocking verifies behavior, recording interactions, asserting method calls. Stubbing provides predetermined responses for calls. Mocks test behavior; stubs isolate dependencies.",Software Testing,Medium
394,Explain the concept of database connection timeout configuration.,"Connection timeout limits wait time for establishing database connections. Prevents indefinite hanging, improves error handling, requires tuning based on network latency.",Database Systems,Medium
395,What is the purpose of Apache Spark in big data processing?,"Spark is distributed processing engine for large-scale data analytics. Provides in-memory computation, supports batch and streaming, offers SQL, ML, graph processing.",Data Engineering,Hard
396,Describe the prototype design pattern and cloning.,"Prototype creates objects by cloning existing instances rather than instantiation. Uses shallow or deep copy, avoiding expensive initialization, supporting runtime composition.",General Programming,Medium
397,What is the difference between authentication methods: Basic vs Bearer?,"Basic: encodes credentials in header, requires HTTPS. Bearer: uses tokens (JWT), stateless, more secure, supports expiration and refresh mechanisms.",Security,Medium
398,Explain the concept of API idempotency and its importance.,"Idempotent operations produce same result when executed multiple times. Critical for reliability: prevents duplicate transactions, enables safe retries in distributed systems.",Back-end,Hard
399,What is the purpose of Ansible in configuration management?,"Ansible automates infrastructure provisioning, configuration, deployment using agentless architecture. Uses YAML playbooks, SSH connection, enabling consistent environment management.",DevOps,Medium
400,Describe the builder design pattern for object construction.,"Builder constructs complex objects step-by-step, separating construction from representation. Provides fluent interface, enabling optional parameters, improving readability for complex objects.",General Programming,Medium
401,What is the difference between SQL aggregate functions?,"COUNT: rows count. SUM: total. AVG: average. MAX/MIN: extremes. GROUP BY: aggregates by categories. HAVING: filters aggregated results.",Database Systems,Easy
402,Explain the concept of microservices communication patterns.,"Patterns: synchronous (REST, gRPC), asynchronous (message queues, pub-sub), event-driven, service mesh. Each balances latency, reliability, coupling.",System Design,Hard
403,What is the purpose of GitHub Actions in automation?,"GitHub Actions automates workflows: CI/CD pipelines, testing, deployment. Triggered by repository events, supports matrix builds, artifact sharing, third-party integrations.",DevOps,Medium
404,Describe the mediator design pattern in software architecture.,"Mediator centralizes complex communications between objects, reducing dependencies. Objects communicate through mediator instead of directly. Example: chat rooms, air traffic control.",General Programming,Hard
405,What is the difference between Array methods: map vs forEach?,"map: creates new array with transformed elements, returns array. forEach: executes function for each element, returns undefined. Map for transformations; forEach for side effects.",Front-end,Easy
406,Explain the concept of database query optimization techniques.,"Techniques: proper indexing, query rewriting, avoiding SELECT *, limiting results, analyzing execution plans, denormalization, caching, connection pooling.",Database Systems,Hard
407,What is the purpose of Swagger/OpenAPI in API documentation?,"Swagger/OpenAPI provides standardized API specification format. Generates interactive documentation, client SDKs, server stubs, enabling API design-first approach.",Back-end,Medium
408,Describe the null object design pattern and its benefits.,"Null object provides default behavior instead of null references. Eliminates null checks, prevents NullPointerException, simplifies code, provides sensible defaults.",General Programming,Medium
409,What is the difference between CSS Grid and Flexbox?,"Grid: two-dimensional layout, rows and columns. Flexbox: one-dimensional layout, row or column. Grid for page layout; Flexbox for component alignment.",Front-end,Medium
410,Explain the concept of A/B testing in software deployment.,"A/B testing compares two versions showing different user groups. Measures metrics (conversion, engagement), making data-driven decisions about features or designs.",DevOps,Medium
411,What is the purpose of Redux Saga in state management?,"Redux Saga handles complex async operations and side effects using ES6 generators. Provides better control flow, testing, cancellation compared to thunks.",Front-end,Hard
412,Describe the object pool design pattern for resource management.,"Object pool maintains reusable objects, improving performance by avoiding expensive creation/destruction. Example: database connections, thread pools, particle systems.",General Programming,Medium
413,What is the difference between Git merge and rebase?,"Merge: preserves history, creates merge commit. Rebase: rewrites history, linear commits. Merge for shared branches; rebase for feature branches before merging.",Version Control,Medium
414,Explain the concept of circuit breaker pattern in microservices.,"Circuit breaker prevents cascading failures by monitoring service calls. States: Closed (normal), Open (failing, blocking calls), Half-Open (testing recovery).",System Design,Hard
415,What is the purpose of Postman in API development?,"Postman enables API testing, documentation, monitoring. Provides request builder, collections, environment variables, automated testing, collaboration features.",Back-end,Easy
416,Describe the repository design pattern in data access.,"Repository abstracts data layer, providing collection-like interface for domain objects. Decouples business logic from data access, enabling easier testing and swapping.",Back-end,Medium
417,What is the difference between HTTP methods: PUT vs PATCH?,"PUT: replaces entire resource, idempotent. PATCH: partial update, applies modifications. PUT for full updates; PATCH for specific field changes.",Back-end,Easy
418,Explain the concept of database indexing data structures.,"B-tree: balanced tree for range queries. Hash: fast equality lookups. Bitmap: low cardinality columns. GiST: complex data types. Each optimized for specific access patterns.",Database Systems,Hard
419,What is the purpose of Socket.io in real-time applications?,"Socket.io enables real-time bidirectional communication using WebSockets with fallback to polling. Provides rooms, namespaces, automatic reconnection for chat, notifications, gaming.",Front-end,Medium
420,Describe the unit of work design pattern in transactions.,"Unit of Work tracks object changes during business transaction, committing all changes together or rolling back. Maintains consistency, coordinating multiple repository operations.",Back-end,Hard
421,What is the difference between authentication flows: OAuth vs SAML?,"OAuth: delegated authorization, REST-based, mobile-friendly. SAML: enterprise SSO, XML-based, federation. OAuth for APIs; SAML for enterprise applications.",Security,Hard
422,Explain the concept of eventual consistency window in distributed systems.,"Eventual consistency window is time period until all replicas converge. During window, reads may return stale data. Trade-off between availability and consistency.",Distributed Systems,Hard
423,What is the purpose of Grafana in monitoring visualization?,"Grafana creates dashboards visualizing metrics from multiple sources (Prometheus, Elasticsearch). Provides alerting, templating, query builders for observability.",DevOps,Medium
424,Describe the specification design pattern for business rules.,"Specification encapsulates business rules as composable objects. Enables complex criteria combination using AND, OR, NOT operators. Example: filtering, validation.",General Programming,Hard
425,What is the difference between class components and functional components in React?,"Class: extends React.Component, lifecycle methods, this binding. Functional: simpler syntax, hooks for state/effects. Functional preferred in modern React.",Front-end,Medium
426,Explain the concept of database denormalization strategies.,"Denormalization adds redundancy for performance: duplicate data, computed columns, materialized views. Trade storage for query speed in read-heavy systems.",Database Systems,Hard
427,What is the purpose of Cypress in end-to-end testing?,"Cypress is JavaScript testing framework for web applications. Provides real browser testing, time-travel debugging, automatic waiting, screenshot/video recording.",Software Testing,Medium
428,Describe the facade design pattern for simplification.,"Facade provides simplified interface to complex subsystem. Hides complexity, reduces coupling, makes subsystem easier to use. Example: library APIs, legacy system wrappers.",General Programming,Medium
429,What is the difference between SQL constraints: UNIQUE vs PRIMARY KEY?,"PRIMARY KEY: unique, not null, one per table, clustered index. UNIQUE: unique, allows nulls, multiple per table, non-clustered index.",Database Systems,Medium
430,Explain the concept of feature branching in Git workflow.,"Feature branching creates isolated branches for new features. Enables parallel development, code review via pull requests, clean main branch. Integrate when complete.",Version Control,Medium
431,What is the purpose of Kubernetes pods and containers?,"Pod is smallest deployable unit containing one or more containers. Containers share pod resources, networking, storage. Pods enable microservices deployment patterns.",DevOps,Medium
432,Describe the dependency injection pattern and its advantages.,"Dependency injection provides dependencies externally rather than creating internally. Advantages: loose coupling, easier testing, configuration flexibility, improved maintainability.",General Programming,Medium
433,What is the difference between authentication token storage options?,"localStorage: persistent, vulnerable to XSS. sessionStorage: session-only. HttpOnly cookies: XSS-safe, CSRF vulnerable. Memory: most secure, lost on refresh.",Security,Hard
434,Explain the concept of database read replicas for scaling.,"Read replicas are copies of primary database handling read operations. Improve read performance, distribute load, provide disaster recovery. Asynchronous replication from primary.",Database Systems,Medium
435,What is the purpose of Helm in Kubernetes deployments?,"Helm is Kubernetes package manager using charts (packages). Simplifies deployment, version management, rollbacks, configuration through templating and releases.",DevOps,Hard
436,Describe the data transfer object (DTO) pattern.,"DTO transfers data between layers/processes without business logic. Reduces method calls, serializes data, decouples layers. Example: API responses, service communication.",Back-end,Medium
437,What is the difference between semantic versioning numbers?,"Major: breaking changes (1.0.0). Minor: backward-compatible features (0.1.0). Patch: backward-compatible fixes (0.0.1). Helps manage dependencies.",General Programming,Easy
438,Explain the concept of Content Security Policy headers.,"CSP prevents XSS by controlling resource loading sources. Defines allowed origins for scripts, styles, images. Implemented via HTTP header or meta tag.",Security,Medium
439,What is the purpose of React Router in single-page applications?,"React Router enables navigation between views in SPAs. Provides declarative routing, nested routes, dynamic parameters, history management without full page reload.",Front-end,Medium
440,Describe the saga pattern for distributed transactions.,"Saga breaks distributed transaction into local transactions with compensating actions. Each step has rollback logic. Ensures eventual consistency without two-phase commit.",Distributed Systems,Hard
441,What is the difference between SQL and NoSQL consistency models?,"SQL: ACID, strong consistency, immediate. NoSQL: BASE (Basically Available, Soft state, Eventual consistency), prioritizes availability over immediate consistency.",Database Systems,Hard
442,Explain the concept of trunk-based development workflow.,"Trunk-based development commits directly to main branch or short-lived feature branches. Promotes continuous integration, faster feedback, reduces merge conflicts.",Version Control,Medium
443,What is the purpose of Selenium in automated testing?,"Selenium automates browser testing across multiple browsers. Supports various languages, enables UI testing, regression testing, cross-browser compatibility verification.",Software Testing,Medium
444,Describe the event sourcing pattern in system design.,"Event sourcing stores state changes as sequence of events rather than current state. Enables audit trails, time travel, event replay, CQRS implementation.",System Design,Hard
445,What is the difference between SQL window functions and aggregate functions?,"Aggregate functions collapse rows into single result. Window functions perform calculations across row sets without collapsing, maintaining row count.",Database Systems,Hard
446,Explain the concept of domain-driven design (DDD) in architecture.,"DDD aligns software with business domain through ubiquitous language, bounded contexts, aggregates, entities, value objects. Models complex business logic effectively.",System Design,Hard
447,What is the purpose of Artillery in load testing?,"Artillery is modern load testing toolkit for APIs and websites. Simulates user traffic, measures performance under load, supports complex scenarios, CI/CD integration.",Software Testing,Medium
448,Describe the adapter pattern for legacy system integration.,"Adapter wraps legacy interface to match expected interface. Enables new code to work with old systems without modification. Translates between incompatible interfaces.",General Programming,Medium
449,What is the difference between horizontal and vertical pod autoscaling in Kubernetes?,"Horizontal: adds/removes pod replicas based on CPU/memory. Vertical: adjusts pod resource requests/limits. Horizontal for stateless; vertical for stateful workloads.",DevOps,Hard
450,Explain the concept of API rate limiting algorithms.,"Algorithms: Fixed window (simple, spike issues), Sliding window (smooth), Token bucket (burst allowance), Leaky bucket (constant rate). Prevent abuse, ensure fair usage.",Back-end,Medium
451,What is the purpose of Jaeger in distributed tracing?,"Jaeger tracks requests across microservices. Captures timing, dependencies, errors. Visualizes transaction paths, identifies performance bottlenecks, troubleshoots latency issues.",DevOps,Hard
452,Describe the lazy loading pattern in software design.,"Lazy loading defers initialization until needed. Improves performance by reducing initial load time, memory usage. Common in: images, modules, database queries.",General Programming,Medium
453,What is the difference between optimistic and pessimistic UI updates?,"Optimistic: updates UI immediately assuming success, reverts on failure. Pessimistic: waits for server confirmation. Optimistic improves perceived performance.",Front-end,Medium
454,Explain the concept of database foreign key constraints and cascading.,"Foreign keys enforce referential integrity. CASCADE: deletes/updates propagate. SET NULL: sets null on delete. RESTRICT: prevents deletion if referenced. Maintains data consistency.",Database Systems,Medium
455,What is the purpose of Istio service mesh in Kubernetes?,"Istio manages service-to-service communication. Provides traffic management, security (mTLS), observability, policy enforcement without changing application code.",DevOps,Hard
456,Describe the iterator design pattern for collection traversal.,"Iterator provides sequential access to collection elements without exposing internal structure. Encapsulates traversal logic, supports multiple simultaneous iterations.",General Programming,Medium
457,What is the difference between CSS position values: absolute vs fixed?,"Absolute: positioned relative to nearest positioned ancestor. Fixed: positioned relative to viewport, stays during scroll. Both removed from normal flow.",Front-end,Easy
458,Explain the concept of database connection string parameters.,"Connection string contains: server address, port, database name, credentials, timeout settings, pooling options. Configures database connection behavior.",Database Systems,Easy
459,What is the purpose of Zuul in microservices gateway?,"Zuul is Netflix API gateway routing requests to microservices. Provides dynamic routing, monitoring, security, load balancing, rate limiting.",System Design,Medium
460,Describe the command query separation (CQS) principle.,"CQS separates methods into commands (change state, no return) and queries (return data, no side effects). Improves predictability, testability.",General Programming,Medium
461,What is the difference between React useState and useReducer hooks?,"useState: simple state updates. useReducer: complex state logic, multiple sub-values, next state depends on previous. Reducer for complex state machines.",Front-end,Medium
462,Explain the concept of database view materialization strategies.,"Materialized views store query results physically. Strategies: immediate refresh, deferred refresh, incremental refresh. Trade freshness for performance.",Database Systems,Hard
463,What is the purpose of SonarQube in code quality analysis?,"SonarQube performs static code analysis detecting bugs, vulnerabilities, code smells. Tracks technical debt, enforces quality gates, integrates with CI/CD.",Software Testing,Medium
464,Describe the front controller design pattern in web applications.,"Front controller centralizes request handling through single entry point. Routes requests to appropriate handlers, applies common processing, reduces duplication.",Back-end,Medium
465,What is the difference between shallow and deep merging objects?,"Shallow merge: copies top-level properties only. Deep merge: recursively copies nested objects. Shallow faster but doesn't handle nested structures.",General Programming,Medium
466,Explain the concept of OAuth 2.0 grant types and their uses.,"Grant types: Authorization Code (web apps), Implicit (deprecated), Client Credentials (service-to-service), Password (legacy), Device Code (limited input devices).",Security,Hard
467,What is the purpose of Fluentd in log aggregation?,"Fluentd collects, processes, routes logs from multiple sources. Provides unified logging layer, plugins for various inputs/outputs, enabling centralized log management.",DevOps,Medium
468,Describe the blackboard design pattern for collaborative problem solving.,"Blackboard uses shared knowledge base where specialists contribute solutions. Useful for complex problems requiring multiple approaches: AI systems, compilers.",General Programming,Hard
469,What is the difference between SQL JOIN performance characteristics?,"INNER JOIN: fastest, filtered dataset. LEFT/RIGHT JOIN: slower, includes unmatched rows. FULL OUTER JOIN: slowest, all rows. Index usage critical.",Database Systems,Hard
470,Explain the concept of progressive enhancement in web development.,"Progressive enhancement builds core functionality first, adding enhancements for capable browsers. Ensures accessibility, graceful degradation, broad compatibility.",Front-end,Medium
471,What is the purpose of Vault by HashiCorp in secrets management?,"Vault securely stores, accesses secrets. Provides encryption, dynamic secrets, lease management, audit logging, supporting various backends.",Security,Hard
472,Describe the double dispatch pattern in object-oriented design.,"Double dispatch uses two polymorphic calls determining method execution. Solves type resolution in languages without multiple dispatch. Example: visitor pattern.",General Programming,Hard
473,What is the difference between microfrontends and monolithic frontends?,"Microfrontends: independent deployable UI modules, team autonomy. Monolithic: single codebase, simpler but less scalable. Microfrontends enable parallel development.",Front-end,Hard
474,Explain the concept of database query execution plan analysis.,"Execution plans show query processing steps: scans, joins, sorts. Analyze cost estimates, identify bottlenecks, optimize through indexing, rewriting.",Database Systems,Hard
475,What is the purpose of Packer in infrastructure automation?,"Packer creates identical machine images for multiple platforms from single configuration. Automates image creation, ensures consistency across environments.",DevOps,Medium
476,Describe the extension object pattern for adding features.,"Extension object adds interfaces to classes dynamically without inheritance. Provides flexibility, supports feature-based composition, reduces coupling.",General Programming,Hard
477,What is the difference between JavaScript event bubbling and capturing?,"Bubbling: events propagate from target to root. Capturing: root to target. Bubbling most common, capturing for early interception.",Front-end,Medium
478,Explain the concept of database stored procedures vs functions.,"Stored procedures: perform actions, multiple results, no return requirement. Functions: return single value, usable in queries. Procedures for operations; functions for calculations.",Database Systems,Medium
479,What is the purpose of Serverless Framework in cloud deployment?,"Serverless Framework deploys serverless applications across providers. Abstracts provider differences, manages infrastructure, supports plugins, simplifies Lambda deployment.",DevOps,Medium
480,Describe the interpreter pattern for custom languages.,"Interpreter defines grammar representation and interpretation mechanism. Builds abstract syntax tree, evaluates expressions. Used for DSLs, calculators, rule engines.",General Programming,Hard
481,What is the difference between REST API maturity levels?,"Level 0: single URI, single method. Level 1: multiple URIs. Level 2: HTTP methods. Level 3: HATEOAS (hypermedia). Higher levels increase RESTfulness.",Back-end,Hard
482,Explain the concept of git cherry-pick and its use cases.,"Cherry-pick applies specific commits to current branch. Use cases: selective bug fixes, feature porting between branches, avoiding full merge.",Version Control,Medium
483,What is the purpose of New Relic in application monitoring?,"New Relic provides APM monitoring application performance, transactions, errors. Offers distributed tracing, real user monitoring, infrastructure monitoring.",DevOps,Medium
484,Describe the object mother pattern in test data creation.,"Object mother creates pre-configured test objects with sensible defaults. Simplifies test setup, ensures consistency, reduces test code duplication.",Software Testing,Medium
485,What is the difference between CSS pseudo-classes and pseudo-elements?,"Pseudo-classes (:hover, :focus): select elements in specific states. Pseudo-elements (::before, ::after): style parts of elements or add content.",Front-end,Easy
486,Explain the concept of database trigger types and timing.,"Types: BEFORE/AFTER triggers, INSTEAD OF triggers. Timing: INSERT, UPDATE, DELETE events. Row-level or statement-level execution.",Database Systems,Medium
487,What is the purpose of Consul in service discovery?,"Consul provides service discovery, health checking, key-value store, multi-datacenter support. Enables dynamic service registration, DNS-based discovery.",System Design,Hard
488,Describe the marker interface pattern in Java.,"Marker interface contains no methods, tags classes with metadata. JVM or frameworks use for special handling. Example: Serializable, Cloneable.",General Programming,Medium
489,What is the difference between cookie SameSite attribute values?,"Strict: never sent cross-site. Lax: sent on top-level navigation. None: always sent (requires Secure). Protects against CSRF.",Security,Medium
490,Explain the concept of database partitioning vs sharding.,"Partitioning: divides table within single database (horizontal/vertical). Sharding: distributes data across multiple databases. Sharding scales better.",Database Systems,Hard
491,What is the purpose of Splunk in log analysis?,"Splunk indexes, searches, analyzes machine data. Provides real-time insights, dashboards, alerting, supporting security, operations, business analytics.",DevOps,Medium
492,Describe the money pattern for financial calculations.,"Money pattern encapsulates currency amount and type, preventing floating-point errors. Provides arithmetic operations, currency conversion, proper rounding.",General Programming,Medium
493,What is the difference between React controlled and uncontrolled components?,"Controlled: React manages form state via props/state. Uncontrolled: DOM manages state, accessed via refs. Controlled preferred for validation, dynamic behavior.",Front-end,Medium
494,Explain the concept of database read-committed isolation level.,"Read committed prevents dirty reads (uncommitted data). Allows non-repeatable reads, phantom reads. Balance between consistency and concurrency.",Database Systems,Hard
495,What is the purpose of ArgoCD in GitOps deployment?,"ArgoCD implements GitOps for Kubernetes. Syncs cluster state with Git repository, provides declarative deployment, rollback, drift detection.",DevOps,Hard
496,Describe the type object pattern for dynamic typing.,"Type object separates class from its type, storing type information as data. Enables runtime type modification, reduces class explosion.",General Programming,Hard
497,What is the difference between JavaScript var let const scoping?,"var: function-scoped, hoisted. let: block-scoped, temporal dead zone. const: block-scoped, immutable binding. Prefer const, then let.",Front-end,Easy
498,Explain the concept of database column store vs row store.,"Row store: stores entire rows together, good for transactions. Column store: stores columns together, excellent for analytics, aggregations.",Database Systems,Hard
499,What is the purpose of Linkerd as service mesh?,"Linkerd provides service mesh for Kubernetes with lower overhead than Istio. Offers observability, reliability, security through sidecar proxies.",DevOps,Hard
500,Describe the active record pattern in ORM frameworks.,"Active record combines data and behavior in single class. Objects represent database rows, containing business logic. Simpler but less separation than data mapper.",Back-end,Medium
501,What is python?,"Python is a high-level, interpreted programming language known for its simple syntax and versatility in areas like web development, data analysis, and automation.",General Programming
502,What is java?,"Java is a high-level, class-based, object-oriented programming language designed to have as few implementation dependencies as possible.",General Programming,Medium
503,What is the difference between typescript and javascript?,"TypeScript is a statically-typed superset of JavaScript that compiles to plain JavaScript, adding type safety and modern features.",General Programming,Medium
504,What is backend developement,"Backend development involves creating and maintaining server-side logic, databases, and APIs that power web applications.",Web Development,Medium
505,Give a definition of AI,"AI, or Artificial Intelligence, is the simulation of human intelligence processes by machines, especially computer systems, including learning, reasoning, and self-correction.",Artificial Intelligence,Medium
506,The types of AI,"Reactive machines, limited memory, theory of mind, and self-aware AI.",Artificial Intelligence,Medium
507,what is SQL,SQL is a domain-specific language used for managing and querying relational databases.,Database Management,Medium
508,what is next.js,Next.js is a React framework for building server-side rendered and statically generated web applications.,Frontend Framework,Medium
